ID,y_trust,c_age,c_male,c_education,c_income,x_threat
1,4,40,1,8,3,0
2,5,37,0,1,0,1
3,0,14,1,0,NA,0
4,NA,12,1,NA,NA,NA
5,NA,9,0,1,NA,NA
6,5,44,1,9,3,0
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,33,1,4,NA,NA
12,7,32,0,4,1,0
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,5,37,0,1,NA,0
20,2,37,1,4,2,0
21,NA,10,0,0,NA,NA
22,NA,10,1,0,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,7,40,0,5,3,0
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,86,0,6,NA,NA
30,NA,41,1,9,NA,NA
31,7,37,0,10,NA,0
32,NA,9,1,NA,NA,NA
33,NA,6,0,NA,NA,NA
34,3,32,1,7,2,0
35,3,30,0,4,0,0
36,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA
44,7,NA,NA,NA,NA,0
45,5,NA,NA,NA,NA,0
46,7,56,1,7,NA,0
47,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA
50,5,21,1,4,0,0
51,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA
55,8,47,1,7,NA,0
56,5,46,0,5,NA,0
