ID,y_trust,c_age,c_male,c_education,c_income,x_threat
1,4,40,1,8,3,0
2,5,37,0,1,0,1
6,5,44,1,9,3,0
12,7,32,0,4,1,0
20,2,37,1,4,2,0
26,7,40,0,5,3,0
34,3,32,1,7,2,0
35,3,30,0,4,0,0
50,5,21,1,4,0,0
70,2,45,1,4,2,1
81,5,62,1,4,2,0
109,8,54,0,8,0,0
110,8,47,1,7,3,0
111,10,45,0,10,1,0
112,9,21,0,6,0,0
113,6,19,0,3,0,0
119,3,54,1,4,0,1
152,5,41,0,10,1,0
153,8,41,1,10,3,0
161,8,40,1,5,1,0
162,7,41,1,10,3,0
168,1,17,1,0,0,0
169,5,14,1,0,0,0
172,7,26,0,10,2,0
181,5,28,0,4,2,0
183,6,32,1,10,3,0
186,6,57,1,4,2,0
187,5,56,0,4,3,0
210,7,45,0,10,2,0
214,2,47,0,4,2,1
222,6,36,0,7,2,0
223,6,35,1,7,3,0
235,1,19,0,0,0,0
240,7,58,1,10,3,0
241,8,58,0,10,3,0
242,10,31,1,10,2,0
245,5,61,1,10,3,0
249,8,44,0,6,2,1
250,9,17,1,0,0,0
300,5,71,0,4,0,0
309,3,63,0,10,2,0
311,3,21,0,6,0,0
313,4,16,1,1,0,0
322,8,40,0,10,1,0
323,3,44,1,10,3,0
326,0,36,1,4,2,0
343,6,51,1,4,1,1
346,6,25,0,3,1,0
349,8,58,1,7,3,0
374,7,48,0,4,1,0
377,5,51,0,4,0,0
380,7,48,0,4,0,0
399,7,35,0,6,1,0
405,7,60,0,5,0,0
410,4,42,1,6,3,0
415,0,53,0,5,2,1
417,0,20,1,1,0,1
435,7,35,1,4,3,0
439,8,61,0,7,0,0
441,0,58,1,4,1,0
456,6,29,0,9,2,0
457,6,30,1,8,1,0
460,7,37,0,6,0,1
462,5,50,0,4,1,0
486,6,43,1,9,3,0
487,3,38,0,7,2,0
509,5,18,0,1,0,0
531,5,46,0,1,1,0
546,5,45,1,10,3,1
547,5,41,0,10,3,1
552,7,55,1,1,2,0
555,0,64,1,9,2,0
578,6,38,0,4,1,0
